stop_id;stop_name;stop_lat;stop_lon;day_trips;24_trips
4;Grove St at Glennie;42.284398;-71.807561;35;41
5;Grove and Sagamore;42.28226;-71.806275;35;41
18;Providence St + Aetna St;42.25318;-71.79265;18;21
21;Grafton St + Franklin St;42.25971;-71.79366;67;79
24;Franklin St + City Hall;42.26178;-71.80149;115;128
25;Front St + City Hall;42.26318;-71.80176;100;116
28;Grafton St + Temple St;42.25974;-71.79381;70;79
31;Providence St + Jefferson St;42.25341;-71.79275;18;21
32;Providence St + Pattison St;42.25231;-71.79267;18;21
37;Providence St + 133 Providence St;42.24661;-71.79193;19;21
45;Fair Plaza Shelter;42.214056;-71.795848;28;36
46;Greenwood St at Arnold;42.21513;-71.795895;28;36
47;Greenwood St at 327 Greenwood;42.216958;-71.796293;28;36
48;Greenwood St at Ryberg;42.2185;-71.796626;28;36
49;Greenwood St at Conway;42.219406;-71.796612;28;36
50;Greenwood St at Southold;42.220645;-71.796658;28;36
53;Spofford Rd at Broughton;42.220974;-71.799507;28;36
54;Upland Garden Dr at 48 Upland Garden;42.220622;-71.803364;28;36
55;Upland Garden Dr at 36 Upland Garden;42.221551;-71.803588;28;36
56;Upland Garden Dr at 22 Upland Garden;42.22255;-71.804006;28;36
57;Upland Garden Dr at 10 Upland Garden;42.223268;-71.80478;28;36
58;Upland St at 65 Upland;42.224131;-71.802758;28;36
59;Upland St at Harwich;42.223646;-71.800826;28;36
60;Upland St at Mallard;42.223311;-71.799616;28;36
61;Upland St at Emmanuel;42.223544;-71.797239;28;36
63;Greenwood St at 187 Greenwood;42.224454;-71.795171;28;36
64;Greenwood St at Forsberg;42.226046;-71.793634;28;36
65;Greenwood St at 127 Greenwood;42.22713;-71.79297;28;36
66;Greenwood St at Tatman;42.228625;-71.792906;28;36
67;Greenwood St at Kosta;42.230063;-71.793098;28;36
68;Greenwood St at Ekman;42.231263;-71.793526;28;36
69;Blackstone River Rd at Whipple;42.232423;-71.794376;23;31
70;Blackstone River Rd at Falmouth;42.233916;-71.795521;23;31
71;Blackstone River Rd at Mckeon;42.234954;-71.796158;23;31
72;Route 146 + Walmart;42.234002;-71.790407;81;122
73;Walmart Parking Lot;42.231748;-71.789958;62;80
74;Providence St + Millbury St;42.23797;-71.79208;46;57
75;Providence St + Doane St;42.2401;-71.79161;46;57
76;Providence St + Astrid Ave;42.240592;-71.791413;46;57
77;Upsala St at Providence;42.241415;-71.791829;28;36
78;Upsala St at Esther;42.241785;-71.793463;28;36
79;Upsala St at Stockton;42.242101;-71.794872;28;36
80;Upsala St at Vernon;42.242635;-71.797135;28;36
81;Vernon St at Ames;42.243428;-71.796838;28;36
82;Vernon St at Windham;42.244718;-71.796086;28;36
84;Vernon St at Syme;42.246283;-71.794886;28;36
87;Vernon St at Suffield;42.249763;-71.794735;28;36
89;Vernon St at Dorchester St;42.251456;-71.79537;28;36
90;Vernon St at Pattison;42.25245;-71.796055;28;36
91;Vernon St at Jefferson;42.253546;-71.796848;28;36
92;Green St at Harding;42.255771;-71.797841;38;48
93;Green St at Harrison;42.256996;-71.79793;38;48
94;Green St at Goddard;42.258156;-71.798056;38;48
95;Foster St + Major Taylor Blvd;42.263406;-71.7968;162;185
96;Foster St + Waldo St;42.264797;-71.800535;62;71
99;Green St at Temple;42.259301;-71.798248;39;49
101;Green St at Madison;42.255704;-71.798152;39;49
102;Vernon St at Pattison;42.252507;-71.796218;27;36
103;Vernon St at Richland;42.251138;-71.795317;27;36
104;Vernon St at Suffield;42.250153;-71.794878;27;36
105;Vernon St at Seymour;42.249128;-71.794751;28;36
106;Vernon St at Alpine;42.248221;-71.794726;28;36
107;Vernon St at View;42.24703;-71.794783;28;36
109;Vernon St at Euclid;42.245568;-71.795481;28;36
110;Vernon St at Windham;42.244925;-71.795998;28;36
112;Vernon St at Cargill;42.243668;-71.796896;28;36
113;Vernon St at Upsala;42.242706;-71.797341;28;36
115;Upsala Street Apartments;42.241961;-71.794984;28;36
116;Upsala St at Esther;42.241646;-71.793577;28;36
